"filename", "language", "TypeScript", "XML", "JSON", "JavaScript", "JSON with Comments", "HTML", "Markdown", "WebAssembly Text Format", "PostCSS", "comment", "blank", "total"
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/timoshenko_beam.ts", "TypeScript", 1786, 0, 0, 0, 0, 0, 0, 0, 0, 306, 510, 2602
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/trans.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 23, 24, 109
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/truss.ts", "TypeScript", 1077, 0, 0, 0, 0, 0, 0, 0, 0, 518, 447, 2042
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/utility.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 31, 20, 115
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/pages/zoomtest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 155
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/contextMenu-css.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 131
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/contextMenu.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 79, 25, 22, 126
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dark.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 395, 72, 64, 531
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dr-dialog.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dr-drawer-css.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/dr-drawer.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 2, 19
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/global-css.ts", "TypeScript", 641, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 649
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/global.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 448, 81, 60, 589
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/light.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 396, 72, 63, 531
"/home/detlef/git-code/d2beam-gui-26-12-2025/src/styles/shared-styles.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20
"/home/detlef/git-code/d2beam-gui-26-12-2025/swa-cli.config.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/home/detlef/git-code/d2beam-gui-26-12-2025/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"/home/detlef/git-code/d2beam-gui-26-12-2025/vite.config.mts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 64
"/home/detlef/git-code/d2beam-gui-26-12-2025/xliff/en-GB.xlf", "XML", 0, 1610, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1611
"/home/detlef/git-code/d2beam-gui-26-12-2025/xliff/es-ES.xlf", "XML", 0, 1611, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1612
"Total", "-", 33420, 3221, 7069, 3735, 31, 2437, 13, 9495, 1398, 12010, 8738, 81567
